dateutc;tempinf;humidityin;baromrelin;baromabsin;tempf;humidity;winddir;windspeedmph;windgustmph;maxdailygust;solarradiation;uv;rainratein;eventrainin;hourlyrainin;dailyrainin;weeklyrainin;monthlyrainin;yearlyrainin;totalrainin;temp1f;humidity1;pm25_ch1;pm25_avg_24h_ch1;wh65batt;batt1;pm25batt1;freq;model
2020-06-05+12:45:28;70.9;63;29.246;29.246;58.1;94;101;1.34;2.24;10.29;129.19;1;0.071;0.551;0.091;0.551;0.650;0.650;6.240;6.240;NA;NA;14.0;13.5;0;NA;5;868M;GW1000_Pro
2020-06-05+13:00:43;71.1;62;29.241;29.241;58.8;94;103;0.00;0.00;10.29;121.36;1;0.047;0.571;0.071;0.571;0.669;0.669;6.260;6.260;NA;NA;12.0;13.7;0;NA;5;868M;GW1000_Pro
2020-06-05+13:14:58;70.5;62;29.246;29.246;59.2;94;103;0.00;0.00;10.29;135.67;1;0.071;0.583;0.063;0.583;0.681;0.681;6.272;6.272;NA;NA;15.0;13.8;0;NA;5;868M;GW1000_Pro
2020-06-05+13:30:12;70.5;62;29.252;29.252;59.4;93;103;0.22;1.12;10.29;107.53;1;0.047;0.591;0.051;0.591;0.689;0.689;6.280;6.280;NA;NA;12.0;13.9;0;NA;5;868M;GW1000_Pro
2020-06-05+13:45:27;70.5;62;29.249;29.249;58.3;93;234;3.36;8.05;10.29;36.82;0;0.236;0.630;0.067;0.630;0.728;0.728;6.319;6.319;NA;NA;14.0;14.0;0;NA;5;868M;GW1000_Pro
2020-06-05+14:00:42;70.3;62;29.246;29.246;57.6;94;294;0.22;2.24;10.29;64.59;0;0.165;0.669;0.098;0.669;0.768;0.768;6.358;6.358;NA;NA;11.0;14.1;0;NA;5;868M;GW1000_Pro
2020-06-05+14:15:57;70.3;62;29.261;29.261;56.7;94;209;3.13;3.36;10.29;27.28;0;0.071;0.693;0.110;0.693;0.791;0.791;6.382;6.382;NA;NA;12.0;14.1;0;NA;5;868M;GW1000_Pro
2020-06-05+14:30:11;70.3;62;29.267;29.267;55.9;94;208;3.80;5.82;11.41;69.36;0;0.118;0.720;0.130;0.720;0.819;0.819;6.409;6.409;NA;NA;8.0;14.0;0;NA;5;868M;GW1000_Pro
2020-06-05+14:45:26;70.3;62;29.279;29.279;55.9;94;190;2.01;5.82;11.41;43.80;0;0.118;0.752;0.110;0.752;0.850;0.850;6.441;6.441;NA;NA;6.0;14.0;0;NA;5;868M;GW1000_Pro
2020-06-05+15:00:41;70.2;61;29.276;29.276;55.4;94;269;2.24;8.05;11.41;42.45;0;0.118;0.780;0.098;0.780;0.878;0.878;6.469;6.469;NA;NA;5.0;13.9;0;NA;5;868M;GW1000_Pro
2020-06-05+15:15:56;70.2;61;29.291;29.291;54.9;94;246;3.13;8.05;11.41;71.93;0;0.047;0.799;0.098;0.799;0.898;0.898;6.488;6.488;NA;NA;7.0;13.8;0;NA;5;868M;GW1000_Pro
2020-06-05+15:30:10;70.2;61;29.291;29.291;54.0;94;255;4.92;6.93;12.53;51.99;0;0.071;0.823;0.091;0.823;0.921;0.921;6.512;6.512;NA;NA;7.0;13.7;0;NA;5;868M;GW1000_Pro
2020-06-05+15:45:25;70.3;60;29.285;29.285;53.2;94;214;3.36;5.82;12.53;35.97;0;0.071;0.843;0.091;0.843;0.941;0.941;6.531;6.531;NA;NA;10.0;13.6;0;NA;5;868M;GW1000_Pro
2020-06-05+16:00:40;70.2;60;29.297;29.297;52.9;94;204;2.24;6.93;12.53;24.71;0;0.118;0.870;0.091;0.870;0.969;0.969;6.559;6.559;NA;NA;6.0;13.4;0;NA;5;868M;GW1000_Pro
2020-06-05+16:15:55;70.2;60;29.291;29.291;52.9;94;214;2.91;6.93;12.53;35.97;0;0.071;0.882;0.071;0.882;0.980;0.980;6.571;6.571;NA;NA;7.0;13.3;0;NA;5;868M;GW1000_Pro
2020-06-05+16:30:09;70.2;60;29.291;29.291;52.9;94;253;2.24;3.36;12.53;19.08;0;0.047;0.890;0.059;0.890;0.988;0.988;6.579;6.579;NA;NA;6.0;13.2;0;NA;5;868M;GW1000_Pro
2020-06-05+16:45:24;70.3;60;29.294;29.294;52.9;94;210;0.89;2.24;12.53;46.36;0;0.071;0.902;0.051;0.902;1.000;1.000;6.591;6.591;NA;NA;7.0;13.1;0;NA;5;868M;GW1000_Pro
2020-06-05+17:00:39;70.3;61;29.282;29.282;53.1;94;205;0.22;1.12;12.53;63.73;0;0.000;0.909;0.039;0.909;1.008;1.008;6.598;6.598;NA;NA;8.0;12.9;0;NA;5;868M;GW1000_Pro
2020-06-05+17:15:54;70.3;60;29.279;29.279;52.3;94;280;0.45;1.12;12.53;61.17;0;0.000;0.909;0.028;0.909;1.008;1.008;6.598;6.598;NA;NA;9.0;12.8;0;NA;5;868M;GW1000_Pro
2020-06-05+17:30:08;70.2;59;29.276;29.276;52.7;94;258;0.00;1.12;12.53;38.17;0;0.071;0.921;0.031;0.921;1.020;1.020;6.610;6.610;NA;NA;6.0;12.5;0;NA;5;868M;GW1000_Pro
2020-06-05+17:45:23;70.0;59;29.285;29.285;52.9;95;250;0.89;1.12;12.53;31.56;0;0.000;0.921;0.020;0.921;1.020;1.020;6.610;6.610;NA;NA;7.0;12.2;0;NA;5;868M;GW1000_Pro
2020-06-05+18:00:38;69.8;59;29.288;29.288;52.5;95;194;0.00;1.12;12.53;38.17;0;0.000;0.921;0.012;0.921;1.020;1.020;6.610;6.610;NA;NA;6.0;11.9;0;NA;5;868M;GW1000_Pro
2020-06-05+18:15:53;70.0;59;29.297;29.297;52.7;95;181;0.00;1.12;12.53;26.79;0;0.000;0.921;0.012;0.921;1.020;1.020;6.610;6.610;NA;NA;6.0;11.6;0;NA;5;868M;GW1000_Pro
2020-06-05+18:30:07;70.0;59;29.306;29.306;52.9;95;181;0.22;1.12;12.53;19.08;0;0.000;0.921;0.000;0.921;1.020;1.020;6.610;6.610;NA;NA;7.0;11.3;0;NA;5;868M;GW1000_Pro
2020-06-05+18:45:23;69.8;59;29.309;29.309;52.9;95;180;0.00;0.00;12.53;2.94;0;0.000;0.921;0.000;0.921;1.020;1.020;6.610;6.610;NA;NA;9.0;11.1;0;NA;5;868M;GW1000_Pro
2020-06-05+19:00:38;69.8;60;29.320;29.320;52.7;95;147;1.34;3.36;12.53;1.22;0;0.000;0.921;0.000;0.921;1.020;1.020;6.610;6.610;NA;NA;11.0;10.7;0;NA;5;868M;GW1000_Pro
2020-06-05+19:15:53;70.0;59;29.326;29.326;52.5;95;154;0.89;2.24;12.53;0.00;0;0.000;0.921;0.000;0.921;1.020;1.020;6.610;6.610;NA;NA;10.0;10.4;0;NA;5;868M;GW1000_Pro
2020-06-05+19:30:08;70.2;59;29.329;29.329;52.2;94;144;1.12;2.24;12.53;0.00;0;0.000;0.921;0.000;0.921;1.020;1.020;6.610;6.610;NA;NA;10.0;10.1;0;NA;5;868M;GW1000_Pro
2020-06-05+19:45:24;70.0;58;29.335;29.335;51.6;94;149;0.22;2.24;12.53;0.00;0;0.000;0.921;0.000;0.921;1.020;1.020;6.610;6.610;NA;NA;9.0;9.8;0;NA;5;868M;GW1000_Pro
2020-06-05+20:00:39;69.8;58;29.332;29.332;51.1;95;166;0.00;0.00;12.53;0.00;0;0.000;0.921;0.000;0.921;1.020;1.020;6.610;6.610;NA;NA;12.0;9.6;0;NA;5;868M;GW1000_Pro
2020-06-05+20:15:54;69.8;58;29.326;29.326;50.9;95;178;0.45;1.12;12.53;0.00;0;0.000;0.921;0.000;0.921;1.020;1.020;6.610;6.610;NA;NA;17.0;9.6;0;NA;5;868M;GW1000_Pro
2020-06-05+20:30:08;69.8;58;29.329;29.329;50.7;96;151;1.12;1.12;12.53;0.00;0;0.000;0.921;0.000;0.921;1.020;1.020;6.610;6.610;NA;NA;12.0;9.5;0;NA;5;868M;GW1000_Pro
2020-06-05+20:45:23;69.8;58;29.320;29.320;50.7;96;159;0.00;1.12;12.53;0.00;0;0.000;0.921;0.000;0.921;1.020;1.020;6.610;6.610;NA;NA;13.0;9.5;0;NA;5;868M;GW1000_Pro
2020-06-05+21:00:38;70.0;58;29.326;29.326;50.7;96;176;1.12;2.24;12.53;0.00;0;0.000;0.921;0.000;0.921;1.020;1.020;6.610;6.610;NA;NA;12.0;9.4;0;NA;5;868M;GW1000_Pro
2020-06-05+21:15:53;69.6;58;29.323;29.323;50.7;96;142;0.00;2.24;12.53;0.00;0;0.000;0.921;0.000;0.921;1.020;1.020;6.610;6.610;NA;NA;12.0;9.4;0;NA;5;868M;GW1000_Pro
2020-06-05+21:30:07;69.8;58;29.332;29.332;51.1;95;147;1.34;2.24;12.53;0.00;0;0.000;0.921;0.000;0.921;1.020;1.020;6.610;6.610;NA;NA;10.0;9.3;0;NA;5;868M;GW1000_Pro
2020-06-05+21:45:22;69.4;58;29.317;29.317;51.4;95;194;0.67;2.24;12.53;0.00;0;0.000;0.921;0.000;0.921;1.020;1.020;6.610;6.610;NA;NA;11.0;9.2;0;NA;5;868M;GW1000_Pro
2020-06-05+22:00:37;69.4;58;29.320;29.320;51.3;95;220;0.00;1.12;1.12;0.00;0;0.000;0.921;0.000;0.000;1.020;1.020;6.610;6.610;NA;NA;10.0;9.2;0;NA;5;868M;GW1000_Pro
2020-06-05+22:15:52;69.3;58;29.332;29.332;51.3;95;195;0.45;1.12;2.24;0.00;0;0.000;0.921;0.000;0.000;1.020;1.020;6.610;6.610;NA;NA;10.0;9.2;0;NA;5;868M;GW1000_Pro
2020-06-05+22:30:06;69.3;58;29.329;29.329;51.1;96;154;0.22;1.12;2.24;0.00;0;0.000;0.921;0.000;0.000;1.020;1.020;6.610;6.610;NA;NA;10.0;9.2;0;NA;5;868M;GW1000_Pro
2020-06-05+22:45:21;69.1;58;29.323;29.323;51.4;96;356;0.00;1.12;4.47;0.00;0;0.000;0.921;0.000;0.000;1.020;1.020;6.610;6.610;NA;NA;16.0;9.3;0;NA;5;868M;GW1000_Pro
2020-06-05+23:00:36;69.3;58;29.323;29.323;51.8;96;148;1.12;3.36;4.47;0.00;0;0.071;0.933;0.012;0.012;1.031;1.031;6.622;6.622;NA;NA;13.0;9.6;0;NA;5;868M;GW1000_Pro
2020-06-05+23:15:53;69.1;58;29.317;29.317;52.2;96;28;0.22;2.24;4.47;0.00;0;0.000;0.933;0.012;0.012;1.031;1.031;6.622;6.622;NA;NA;16.0;9.7;0;NA;5;868M;GW1000_Pro
2020-06-05+23:30:07;69.3;59;29.323;29.323;52.3;96;80;0.00;3.36;4.47;0.00;0;0.000;0.933;0.012;0.012;1.031;1.031;6.622;6.622;NA;NA;15.0;10.0;0;NA;5;868M;GW1000_Pro
2020-06-05+23:45:22;69.3;59;29.314;29.314;52.5;96;106;0.89;2.24;4.47;0.00;0;0.000;0.933;0.012;0.012;1.031;1.031;6.622;6.622;NA;NA;17.0;10.2;0;NA;5;868M;GW1000_Pro
2020-06-06+00:00:37;69.1;60;29.311;29.311;52.3;96;34;0.00;0.00;4.47;0.00;0;0.000;0.933;0.000;0.012;1.031;1.031;6.622;6.622;NA;NA;17.0;10.6;0;NA;5;868M;GW1000_Pro
2020-06-06+00:15:52;69.1;60;29.314;29.314;52.0;96;175;0.00;0.00;4.47;0.00;0;0.000;0.933;0.000;0.012;1.031;1.031;6.622;6.622;NA;NA;17.0;10.8;0;NA;5;868M;GW1000_Pro
2020-06-06+00:30:06;68.9;59;29.311;29.311;51.8;96;134;0.00;0.00;4.47;0.00;0;0.000;0.933;0.000;0.012;1.031;1.031;6.622;6.622;NA;NA;19.0;11.2;0;NA;5;868M;GW1000_Pro
2020-06-06+00:45:21;69.1;59;29.306;29.306;51.8;97;82;0.00;1.12;4.47;0.00;0;0.000;0.933;0.000;0.012;1.031;1.031;6.622;6.622;NA;NA;20.0;11.6;0;NA;5;868M;GW1000_Pro
2020-06-06+01:00:40;68.9;60;29.306;29.306;52.0;97;172;1.57;3.36;4.47;0.00;0;0.000;0.933;0.000;0.012;1.031;1.031;6.622;6.622;NA;NA;22.0;12.2;0;NA;5;868M;GW1000_Pro
2020-06-06+01:15:55;69.3;60;29.291;29.291;52.3;96;121;2.68;6.93;9.17;0.00;0;0.000;0.933;0.000;0.012;1.031;1.031;6.622;6.622;NA;NA;23.0;12.6;0;NA;5;868M;GW1000_Pro
2020-06-06+01:30:09;68.9;60;29.288;29.288;52.7;95;92;1.79;5.82;9.17;0.00;0;0.000;0.933;0.000;0.012;1.031;1.031;6.622;6.622;NA;NA;22.0;12.9;0;NA;5;868M;GW1000_Pro
2020-06-06+01:45:24;68.9;60;29.282;29.282;52.7;95;46;0.67;3.36;9.17;0.00;0;0.000;0.933;0.000;0.012;1.031;1.031;6.622;6.622;NA;NA;23.0;13.1;0;NA;5;868M;GW1000_Pro
2020-06-06+02:00:39;68.7;59;29.285;29.285;52.9;94;166;1.79;5.82;9.17;0.00;0;0.000;0.933;0.000;0.012;1.031;1.031;6.622;6.622;NA;NA;23.0;13.8;0;NA;5;868M;GW1000_Pro
2020-06-06+02:15:54;68.9;59;29.285;29.285;52.5;95;61;0.22;2.24;9.17;2.08;0;0.000;0.933;0.000;0.012;1.031;1.031;6.622;6.622;NA;NA;24.0;14.1;0;NA;5;868M;GW1000_Pro
2020-06-06+02:30:08;68.5;59;29.285;29.285;52.7;95;75;0.89;3.36;9.17;6.85;0;0.000;0.933;0.000;0.012;1.031;1.031;6.622;6.622;NA;NA;25.0;14.8;0;NA;5;868M;GW1000_Pro
2020-06-06+02:45:23;68.4;59;29.279;29.279;53.4;93;75;2.46;5.82;9.17;12.11;0;0.000;0.933;0.000;0.012;1.031;1.031;6.622;6.622;NA;NA;23.0;15.3;0;NA;5;868M;GW1000_Pro
2020-06-06+03:00:38;68.5;59;29.297;29.297;53.6;92;242;0.45;8.05;10.29;8.56;0;0.000;0.933;0.000;0.012;1.031;1.031;6.622;6.622;NA;NA;23.0;15.8;0;NA;5;868M;GW1000_Pro
2020-06-06+03:15:53;68.7;59;29.291;29.291;53.4;92;262;1.57;4.47;10.29;10.77;0;0.071;0.953;0.020;0.031;1.051;1.051;6.642;6.642;NA;NA;20.0;16.0;0;NA;5;868M;GW1000_Pro
2020-06-06+03:30:07;68.4;59;29.300;29.300;53.2;92;121;5.82;6.93;10.29;14.68;0;0.000;0.953;0.020;0.031;1.051;1.051;6.642;6.642;NA;NA;17.0;16.3;0;NA;5;868M;GW1000_Pro
2020-06-06+03:45:22;68.4;59;29.306;29.306;53.2;92;72;4.92;6.93;10.29;15.17;0;0.000;0.953;0.020;0.031;1.051;1.051;6.642;6.642;NA;NA;14.0;16.4;0;NA;5;868M;GW1000_Pro
2020-06-06+04:00:37;68.4;59;29.306;29.306;53.6;90;122;4.47;6.93;11.41;68.51;0;0.000;0.953;0.020;0.031;1.051;1.051;6.642;6.642;NA;NA;15.0;16.6;0;NA;5;868M;GW1000_Pro
2020-06-06+04:15:52;68.2;59;29.311;29.311;54.1;89;207;1.34;5.82;11.41;83.19;0;0.000;0.953;0.000;0.031;1.051;1.051;6.642;6.642;NA;NA;14.0;16.7;0;NA;5;868M;GW1000_Pro
2020-06-06+04:30:06;68.5;59;29.317;29.317;54.1;87;131;2.24;12.53;12.53;172.12;1;0.000;0.953;0.000;0.031;1.051;1.051;6.642;6.642;NA;NA;10.0;16.6;0;NA;5;868M;GW1000_Pro
2020-06-06+04:45:21;68.4;59;29.320;29.320;54.1;84;309;3.80;9.17;17.22;206.87;2;0.047;0.961;0.008;0.039;1.059;1.059;6.650;6.650;NA;NA;14.0;16.6;0;NA;5;868M;GW1000_Pro
2020-06-06+05:00:36;68.4;58;29.320;29.320;54.1;81;124;13.42;19.46;19.46;255.44;2;0.000;0.961;0.008;0.039;1.059;1.059;6.650;6.650;NA;NA;7.0;16.4;0;NA;5;868M;GW1000_Pro
2020-06-06+05:15:51;68.7;58;29.326;29.326;54.9;79;108;5.37;8.05;19.46;303.64;2;0.000;0.961;0.008;0.039;1.059;1.059;6.650;6.650;NA;NA;8.0;16.3;0;NA;5;868M;GW1000_Pro
2020-06-06+05:30:05;68.9;59;29.338;29.338;55.0;80;124;6.49;9.17;19.46;149.61;1;0.000;0.961;0.008;0.039;1.059;1.059;6.650;6.650;NA;NA;11.0;16.2;0;NA;5;868M;GW1000_Pro
